Layer,Disputed_Amount,Primary_Amount,Txn_Day,Txn_Month,Txn_Hour,Txn_DayOfWeek,Txn_IsWeekend,Is_Disputed,Dispute_Ratio,Is_Full_Dispute,Sheet_Money Transfer to,Sheet_Other,Sheet_Others Less Then 500,Sheet_Transaction put on hold,Sheet_Withdrawal through ATM,Action_By_Bank_Code,Is_HighValue,Is_DeepChain,Amount_Gap,Txn_IsNight,Is_HoldTxn,Is_MoneyTransfer,is_fraud
7,1090.0,1090.0,31,12,17,2,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
5,485.0,10000.0,28,1,12,2,0,1,0.0485,0,1,0,0,0,0,101,0,1,9515.0,0,0,1,1
4,2000.0,2000.0,20,1,9,1,0,1,1.0,1,1,0,0,0,0,10,0,1,0.0,0,0,1,1
4,1948.12,3400.0,1,1,15,3,0,1,0.573,0,1,0,0,0,0,16,0,1,1451.88,0,0,1,0
3,10000.0,10000.0,5,1,20,0,0,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
3,1775.0,1995.0,25,12,18,3,0,1,0.8897,0,1,0,0,0,0,18,0,1,220.0,0,0,1,0
6,584.38,641.5,29,12,10,0,0,1,0.911,0,1,0,0,0,0,101,0,1,57.120000000000005,0,0,1,1
6,584.38,641.5,29,12,10,0,0,1,0.911,0,1,0,0,0,0,101,0,1,57.120000000000005,0,0,1,1
4,818.4,5.0,26,2,12,3,0,1,163.68,0,0,0,0,1,0,10,0,1,0.0,0,1,0,0
4,818.4,593.0,23,3,10,0,0,1,1.3801,0,0,0,0,1,0,37,0,1,0.0,0,1,0,0
4,1000.0,1353.0,18,2,15,2,0,1,0.7391,0,1,0,0,0,0,9,0,1,353.0,0,0,1,1
4,2000.0,2000.0,2,1,12,4,0,1,1.0,1,1,0,0,0,0,10,0,1,0.0,0,0,1,0
8,944.84,1500.0,31,12,21,2,0,1,0.6299,0,1,0,0,0,0,56,0,1,555.16,0,0,1,0
4,818.4,818.4,25,2,0,2,0,1,1.0,1,0,0,0,1,0,6,0,1,0.0,1,1,0,0
7,2769.72,11557.78,26,1,20,0,0,1,0.2396,0,1,0,0,0,0,1,1,1,8788.060000000001,0,0,1,1
3,506.0,506.0,27,12,17,5,1,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
5,708.16,1025.0,27,1,14,1,0,1,0.6909,0,1,0,0,0,0,6,0,1,316.84000000000003,0,0,1,1
4,300.0,450.0,28,12,12,6,1,1,0.6667,0,1,0,0,0,0,9,0,1,150.0,0,0,1,0
4,818.4,2850.0,25,12,12,3,0,1,0.2872,0,0,0,0,1,0,36,0,1,2031.6,0,1,0,0
5,2000.0,2000.0,25,1,20,6,1,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
3,700.0,700.0,26,12,20,4,0,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
5,700.0,1818.0,6,1,12,1,0,1,0.385,0,1,0,0,0,0,9,0,1,1118.0,0,0,1,1
4,300.0,400.0,26,1,12,0,0,1,0.75,0,1,0,0,0,0,9,0,1,100.0,0,0,1,0
4,1350.0,1500.0,1,1,11,3,0,1,0.9,0,1,0,0,0,0,78,0,1,150.0,0,0,1,1
6,757.0,757.0,24,12,18,2,0,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
5,100.0,100.0,26,12,22,4,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,1,0,1,1
6,1636.0,1636.0,2,1,16,4,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
4,818.4,8.42,6,3,12,4,0,1,97.1971,0,0,0,0,1,0,10,0,1,0.0,0,1,0,0
8,385.58,800.0,25,1,10,6,1,1,0.482,0,1,0,0,0,0,96,0,1,414.42,0,0,1,0
4,818.4,302.04,26,1,0,0,0,1,2.7096,0,0,0,0,1,0,78,0,1,0.0,1,1,0,0
6,1000.0,1999.0,27,12,1,5,1,1,0.5003,0,1,0,0,0,0,37,0,1,999.0,1,0,1,1
4,243.0,298.74,28,1,12,2,0,1,0.8134,0,1,0,0,0,0,9,0,1,55.74000000000001,0,0,1,0
4,340.85,500.0,7,1,9,2,0,1,0.6817,0,1,0,0,0,0,78,0,1,159.14999999999998,0,0,1,0
4,818.4,4050.0,8,3,17,6,1,1,0.2021,0,0,0,0,0,0,1,0,1,3231.6,0,0,0,1
4,818.4,981.97,25,2,0,2,0,1,0.8334,0,0,0,0,1,0,1,0,1,163.57000000000005,1,1,0,0
3,3400.0,3400.0,18,2,0,2,0,1,1.0,1,1,0,0,0,0,8,0,1,0.0,1,0,1,1
6,45.0,45.0,22,1,18,3,0,1,1.0,1,1,0,0,0,0,10,0,1,0.0,0,0,1,1
4,818.4,9.01,27,12,14,5,1,1,90.8324,0,0,0,0,1,0,78,0,1,0.0,0,1,0,0
3,25000.0,25000.0,21,1,0,2,0,1,1.0,1,1,0,0,0,0,16,1,1,0.0,1,0,1,1
9,4.37,20.0,3,1,10,5,1,1,0.2185,0,1,0,0,0,0,101,0,1,15.629999999999999,0,0,1,1
4,1000.0,1000.0,1,2,8,6,1,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
6,1148.76,1520.0,3,1,21,5,1,1,0.7558,0,1,0,0,0,0,70,0,1,371.24,0,0,1,1
4,999.89,999.89,28,12,6,6,1,1,1.0,1,1,0,0,0,0,95,0,1,0.0,0,0,1,0
4,818.4,1009.77,6,3,0,4,0,1,0.8105,0,0,0,0,1,0,1,0,1,191.37,1,1,0,0
4,818.4,30.56,4,1,1,6,1,1,26.7801,0,0,0,0,1,0,78,0,1,0.0,1,1,0,0
4,499.99,499.99,6,1,12,1,0,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
